cloud_name,region_name,instance_type,vcpu_count,memory_gb,on_demand_price
AWS,ap-northeast-2,x2iedn.4xlarge,16,512,4.83525
AWS,ap-northeast-2,c4.4xlarge,16,30,0.907
AWS,ap-northeast-2,c5a.12xlarge,48,96,2.064
AWS,ap-northeast-2,p2.8xlarge,32,488,11.72
AWS,ap-northeast-2,x1e.2xlarge,8,244,2.418
AWS,ap-northeast-2,r6i.4xlarge,16,128,1.216
AWS,ap-northeast-2,r5b.24xlarge,96,768,8.544
AWS,ap-northeast-2,c5n.metal,72,192,4.392
AWS,ap-northeast-2,c6gd.large,2,4,0.088
AWS,ap-northeast-2,m6id.metal,128,512,9.3408
AWS,ap-northeast-2,c6gn.xlarge,4,8,0.195
AWS,ap-northeast-2,c6gd.medium,1,2,0.044
AWS,ap-northeast-2,i3.xlarge,4,30,0.366
AWS,ap-northeast-2,r7g.16xlarge,64,512,4.1344
AWS,ap-northeast-2,r7g.large,2,16,0.1292
AWS,ap-northeast-2,r7g.12xlarge,48,384,3.1008
AWS,ap-northeast-2,m5.xlarge,4,16,0.236
AWS,ap-northeast-2,c7i.24xlarge,96,192,4.8384
AWS,ap-northeast-2,c5.24xlarge,96,192,4.608
AWS,ap-northeast-2,c6id.24xlarge,96,192,5.544
AWS,ap-northeast-2,g5g.metal,64,128,3.3752
AWS,ap-northeast-2,r5n.large,2,16,0.178
AWS,ap-northeast-2,c6gn.4xlarge,16,32,0.78
AWS,ap-northeast-2,m6id.xlarge,4,16,0.2919
AWS,ap-northeast-2,r5ad.8xlarge,32,256,2.528
AWS,ap-northeast-2,g5.12xlarge,48,192,6.97442
AWS,ap-northeast-2,m5a.8xlarge,32,128,1.696
AWS,ap-northeast-2,c5a.8xlarge,32,64,1.376
AWS,ap-northeast-2,x2iedn.8xlarge,32,1024,9.6705
AWS,ap-northeast-2,c6id.2xlarge,8,16,0.462
AWS,ap-northeast-2,r6id.2xlarge,8,64,0.7268
AWS,ap-northeast-2,r6id.metal,128,1024,11.6288
AWS,ap-northeast-2,r7g.metal,64,512,4.1344
AWS,ap-northeast-2,r5a.16xlarge,64,512,4.352
AWS,ap-northeast-2,c7i.metal-24xl,96,192,4.8384
AWS,ap-northeast-2,m5ad.2xlarge,8,32,0.508
AWS,ap-northeast-2,t3a.medium,2,4,0.0468
AWS,ap-northeast-2,m6i.xlarge,4,16,0.236
AWS,ap-northeast-2,i3en.12xlarge,48,384,6.384
