cloud_name,region_name,instance_type,vcpu_count,memory_gb,on_demand_price
GCP,asia-northeast1,a2-highgpu-1g,12,85,0.948031
GCP,asia-northeast1,a2-highgpu-2g,24,170,1.896062
GCP,asia-northeast1,a2-highgpu-4g,48,340,3.792124
GCP,asia-northeast1,a2-highgpu-8g,96,680,7.584248
GCP,asia-northeast1,e2-highcpu-16,16,16,0.508248
GCP,asia-northeast1,e2-highcpu-2,2,2,0.063531
GCP,asia-northeast1,e2-highcpu-32,32,32,1.016497
GCP,asia-northeast1,e2-highcpu-4,4,4,0.127062
GCP,asia-northeast1,e2-highcpu-8,8,8,0.254124
GCP,asia-northeast1,e2-highmem-16,16,128,0.927029
GCP,asia-northeast1,e2-highmem-2,2,16,0.115879
GCP,asia-northeast1,e2-highmem-4,4,32,0.231757
GCP,asia-northeast1,e2-highmem-8,8,64,0.463514
GCP,asia-northeast1,e2-medium,2,4,0.071009
GCP,asia-northeast1,e2-micro,2,1,0.059792
GCP,asia-northeast1,e2-small,2,2,0.063531
GCP,asia-northeast1,e2-standard-16,16,64,0.687726
GCP,asia-northeast1,e2-standard-2,2,8,0.085966
GCP,asia-northeast1,e2-standard-32,32,128,1.375452
GCP,asia-northeast1,e2-standard-4,4,16,0.171931
GCP,asia-northeast1,e2-standard-8,8,32,0.343863
GCP,asia-northeast1,n1-highcpu-16,16,14,0.727924
GCP,asia-northeast1,n1-highcpu-2,2,1,0.090989
GCP,asia-northeast1,n1-highcpu-32,32,28,1.455842
GCP,asia-northeast1,n1-highcpu-4,4,3,0.181978
GCP,asia-northeast1,n1-highcpu-64,64,57,2.911684
GCP,asia-northeast1,n1-highcpu-8,8,7,0.363962
GCP,asia-northeast1,n1-highcpu-96,96,86,4.367532
GCP,asia-northeast1,n1-highmem-16,16,104,1.213464
GCP,asia-northeast1,n1-highmem-2,2,13,0.151683
GCP,asia-northeast1,n1-highmem-32,32,208,2.426928
GCP,asia-northeast1,n1-highmem-4,4,26,0.303366
GCP,asia-northeast1,n1-highmem-64,64,416,4.853856
GCP,asia-northeast1,n1-highmem-8,8,52,0.606732
GCP,asia-northeast1,n1-highmem-96,96,624,7.280784
GCP,asia-northeast1,n1-megamem-96,96,1433,11.668004
GCP,asia-northeast1,n1-standard-1,1,3,0.060939
GCP,asia-northeast1,n1-standard-16,16,60,0.975028
GCP,asia-northeast1,n1-standard-2,2,7,0.121879
GCP,asia-northeast1,n1-standard-32,32,120,1.950056
GCP,asia-northeast1,n1-standard-4,4,15,0.243757
GCP,asia-northeast1,n1-standard-64,64,240,3.900112
GCP,asia-northeast1,n1-standard-8,8,30,0.487514
GCP,asia-northeast1,n1-standard-96,96,360,5.850168
GCP,asia-northeast1,n1-ultramem-160,160,3844,27.329516
GCP,asia-northeast1,n1-ultramem-40,40,961,6.832379
GCP,asia-northeast1,n1-ultramem-80,80,1922,13.664758
GCP,asia-northeast1,n2-highcpu-16,16,16,0.736592
GCP,asia-northeast1,n2-highcpu-2,2,2,0.092074
GCP,asia-northeast1,n2-highcpu-32,32,32,1.473184
GCP,asia-northeast1,n2-highcpu-4,4,4,0.184148
GCP,asia-northeast1,n2-highcpu-48,48,48,2.209776
GCP,asia-northeast1,n2-highcpu-64,64,64,2.946368
GCP,asia-northeast1,n2-highcpu-8,8,8,0.368296
GCP,asia-northeast1,n2-highcpu-80,80,80,3.68296
GCP,asia-northeast1,n2-highcpu-96,96,96,4.419552
GCP,asia-northeast1,n2-highmem-128,128,864,9.88112
GCP,asia-northeast1,n2-highmem-16,16,128,1.34352
GCP,asia-northeast1,n2-highmem-2,2,16,0.16794
GCP,asia-northeast1,n2-highmem-32,32,256,2.68704
GCP,asia-northeast1,n2-highmem-4,4,32,0.33588
GCP,asia-northeast1,n2-highmem-48,48,384,4.03056
